Site,BareRock,Sand,Colpomenia.sinuosa,Dictyota.flabellata,Cladophora,Chaetomorpha,Chonracanthus.exasperata,Endocladia,Egregia.menziesii,Ectocarpus,Farlowia.mollis,Laurencia.pacifica,Gastroclonium.coulteri,Fucus,Gelidium,Petalonia.binghaminae,Phyllospadix,Bossiella,Caulacanthis.ustulatus,Ceramium,Crustose.coralline,Corallina..Vancouveriensis,Cryptopluera.violacea,Cystosyra,Mastocarpus,Mazzaella.affinis,Mazzaella.splendens,Mazzaella.flaccida,Mazzaella..Leptorhynchos,Mazzaella.parksii,Prionitis,Polysiphonia,Sargassum.muticum,Ulva.californica,Silvetia.orpelvetiopsis,NonCorallinecCust,Anthopleura.spp,Balanus.Chthamalus,Tetraclita,Mytilus,Sponge,Pollicipes,SemiBalanus,Serpulorbis,Nucella,Ceratostoma,Chlorostoma,Littorina,Cyanoplax,Mopilia,Fissurella,Lottia.sp.,Nuttalina,Pagurus,Pisaster,Urchin,Brittle.star,Cancer,Pachygrapsus,Opaleye,Sculpin,Lottia.sp
Bodega,21.84571931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.461429827,0,0,0,0,0,10.92285965,0,0,0,0,16.38428948,0,1.365357457,0,38.23000879,5.461429827,0,0,0,0,0,0.136317288,2.45E-05,0,0,0,0.017476575,0,0,0,0,0,0,0.174765754,0,0,0.000321569
Bodega,24.16554816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.99865779,0,0,0,8.055182719,3.222073087,0,0,6.444146175,0,0,0.402759136,0,0,0,0,0,0,0,11.27725581,4.833109631,3.222073087,0,4.833109631,0,0,0,0,0.019332439,0,3.593900322,0.000270654,0,0.193324385,0,0.251321701,0,0,0,0,0,0,0.38664877,0,0.096662193,0.004624319
Bodega,30.46906059,5.974325606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.792297682,11.94865121,0,0,1.792297682,0,0,0,0,0,27.48189779,0,0,0,0,11.35121865,0,1.792297682,0,0.597432561,0,0,0,0,0.01816195,0,5.123486051,0.000991642,0,0,0,0.644749219,0,0.002361053,0,0,0,0,0.635668245,0,0.363238997,0.011863386
Bodega,53.44263204,4.203353082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.002395059,0,0,0,0.600479012,0,0,0,0,0,28.82299256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.149701147,0.000529622,0,0,0,0.063050296,0,0.002341868,0,0,0,0,1.351077776,0,0.360287407,0.001160125
Bodega,49.42421257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.297757614,0,0,0,17.19103046,0,2.148878807,0,0,0,4.297757614,0,0,0,0,17.19103046,0,0,0,2.148878807,0,0,0,0,0.018910134,0,3.023730347,7.94E-05,0,0,0,0.066185467,0,0.001229159,0,0,0,0,0.189101335,0,0,0.001217813
BobCreek,31.27461645,0,0,0,0.130310902,0,0,0,0,0,37.79016154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.8497443,0,0,0,0,0,7.818654112,0.130310902,0,0.651554509,0,0,0,0,0.045348194,0,0.019650884,0.049096978,0,0,0,0.770919295,0,0.001965088,0,0,0,0,0.453481938,0,0,0.014184915
BobCreek,31.6047967,0,0,0,0,0,0,0,0,0,26.02747963,0,0,0,0,0,0,0,0,0,0,0.232388211,0,0,0,0,0,0,0,0,7.436422752,0.464776422,0,0,0,0,19.52060972,4.64776422,0,6.506869908,0,0,1.859105688,0.232388211,0.348024585,0,0,0.031670237,8.63E-05,0,0,0.355275097,0,0.000754053,0.725051218,0,0,0,0,0,0,0.006537062
BobCreek,6.372485833,0,0,0,0,0,0,0,0,0,2.548994333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.01946883,22.940949,0,0,0,5.097988666,10.19597733,2.548994333,0,30.587932,0,0.127449717,3.8234915,0,0.490681409,0,0,0.010794991,8.34E-05,0.070097344,0,0.385535393,0,0.000911265,0,0.700973442,0,0,0,0.070097344,0,0.007093851
BobCreek,31.99893362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26665778,0,0,0,0,0,1.333288901,0,0,0,5.333155604,15.99946681,0,0,0,0,5.333155604,10.66631121,0,26.66577802,0,0,0.666644451,0,0.547181765,0,0,0.010781507,0.000120583,0,0,1.155161504,0,0.002107663,0,0,0,0,0,0,0,0.021254972
BobCreek,5.815294861,0,0,0,0,0,0,0,0,0,37.79941659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.361471145,0,0,0,0,5.815294861,8.722942291,0.872294229,0,31.98412173,0,0.290764743,2.90764743,0.726911858,0.393113933,0,0.019655697,0.02201438,0,0.075598833,0,0.188997083,0,0.000982785,0,0,0,0,0,0,0,0.003477546
BobCreek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.082286396,35.41143198,0,0,0,3.035265598,6.070531197,1.011755199,0,45.52898398,0,0.10117552,0.10117552,0,0.548168967,0,0.0331451,0.005621919,7.59E-05,0.063740578,0,0.924238375,0,0.001657255,0,0,0,0,0,0,0.063740578,0.017005986
BobCreek,3.623596139,0,0,0,0.452949517,0,0,0,0,0,47.10674981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.623596139,0.452949517,0,0,0,0,9.964889383,0.905899035,0,31.70646622,0,0.090589903,0.452949517,0.226474759,0.270863811,0,0.045929081,0.032150357,0,0.058883437,0,0.329747249,0,0.001530969,0.588834373,0,0,0,0.058883437,0,0,0.006067349
BobCreek,7.433821648,0,0,0,0,0,0,0,0,0,28.24852226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.93896175,0,0,0,0,2.973528659,14.12426113,0.371691082,0,10.40735031,0,0,0,0.743382165,0.447070034,0,0.018748098,0.019584552,8.58E-05,0.07210807,0,0.122583719,0,0.003937101,0,0,0,0,0.07210807,0,0,0.00225554
BobCreek,7.652640843,0,0,0,9.183169012,0,0,0,0,0,52.03795773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.30528169,3.061056337,0,0,0,3.061056337,3.061056337,0.306105634,0,3.061056337,0,0,0,3.061056337,0.080811887,0,0,0.012445031,8.01E-05,0,0,0.047140268,0,0.000875462,0,0,0,0,0.067343239,0,0,0.000867381
BobCreek,3.102996127,0,0,0,0,0,0,0,0,0,12.41198451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.44194578,3.102996127,0,0,0,9.308988381,1.551498063,0.310299613,0,18.61797676,0,1.551498063,3.102996127,3.102996127,0.096813479,0,0,0.002936676,0,0,0,0.129084639,0,0.001258575,0,0,0,0,0.161355799,0,0,0.002375157
BobCreek,10.7568101,0,0,0,0,0,0,0,0,0,4.61006147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.51362019,27.66036882,0,0,0,0,1.536687157,0.384171789,0,30.73374313,0,0.768343578,1.536687157,0,0.237879172,0,0,0.02386721,0,0,0,0.231271417,0,0.002233421,0,0,0,0,0,0,0,0.004255394
BobCreek,6.704431334,0,0,0,0.670443133,0,0,0,0,0,44.2492468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.340886267,0,0,0,4.0226588,1.340886267,0,0,0,0,4.0226588,0.670443133,0,36.2039292,0,0.335221567,0,0,0.156883693,0,0,0.022808475,0,0,0,0.253427504,0,0.001411953,0,0,0,0,0,0,0,0.004663066
BobCreek,18.36816937,0,0,0,4.592042343,0,0,0,0,0,13.77612703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.653403905,0,0,0,13.77612703,1.530680781,0,0,0,6.122723124,6.122723124,0.153068078,0,26.02157328,0,0,0.382670195,0.76534039,0.144802402,0,0,0.007924641,0,0,0,0.440989133,0,0.001882431,0,0,0,0,0.131638547,0,0,0.0081142
BobCreek,18.40030394,0,0,0,0.511119554,0,0,0,0,0,20.44478216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.022239108,0,0,0,0,1.022239108,0,0,0,0,10.22239108,0.204447822,0,44.97852074,0,0.511119554,0.511119554,0.511119554,0.264146585,0,0,0.006617567,0,0.139024519,0,1.091342472,0,0.000361464,0,0,0,0,0.139024519,0,0,0.020080701
BobCreek,21.95061316,0,0,0,8.231479936,0,0,0,0,0,28.81017978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.371913323,0,0,0,0,4.115739968,34.29783307,0.137191332,0,0.342978331,0,0,0,0,0.012895985,0,0,0.016971117,0,0,0,0.509391417,0,0,0,0,0,0,0.193439779,0,0,0.009372802
CDM,43.27176649,0,0,0,0,0,0,5.769568866,0,5.769568866,0,0,0,0,0,1.442392216,0,0,0,0,15.86631438,14.42392216,0,0,0,0,0,0,0,0,0,0,0,0.360598054,0,10.09674552,2.163588325,0.144239222,0.144239222,0.360598054,0,0,0,0,0,0,0.136507999,0,0,0,0,0.048464378,0.000384484,0.000210012,0,0,0,0,0,0,0,0.000891745
CDM,0,0,0,0,0,0,0,0,0.214680357,0,0,0,0,0,0,0,0,0,0,0,75.13812483,5.15232856,0,14.16890354,0,0,0,0,0,0,0,0.858721427,1.28808214,0,0,1.717442853,0.429360713,0,0,0,0,0,0,0,0,0.296258892,0.102703083,5.53E-05,0,0,0,0.217256521,0.001410192,0.01566222,0,0,0,0,0.197505928,0,0.197505928,0.00399752
CDM,0,0,0,3.631054556,0,0,0,0,0.453881819,1.815527278,0,0,0,0,0,0.907763639,0,0,0,3.631054556,29.04843645,35.40278192,0,3.631054556,0,0,0,0,0,0,0,0,19.97080006,0,0,0,0.453881819,0,0,0,0,0,0,0,0,0,0,0,0.000105863,0,0,0.684998442,0.000211727,0,0,0,0,0,0.177921673,0,0.177921673,0.012603971
CDM,8.738098123,0,0,0,0,0,0,0,0,3.883599166,0,0,0,0,0,0,0,0,0,0,67.9629854,2.912699374,0,0.970899791,0,0,0,0,0,0,0,0,0,0,0,12.62169729,0.970899791,0.485449896,0.242724948,0.485449896,0,0,0,0,0,0,0,0.00059454,0.00018717,0,0,0.401078704,0.001684531,0,0,0,0,0,0.314571532,0,0,0.007379848
CDM,0,0,0,0,0,0,0,0,0,5.172924364,0,0,0,0,0,1.293231091,0,0,0,0,80.18032765,2.586462182,0,0,0,0,0,0,0,0,0,0,0,0,0,2.586462182,1.293231091,0,5.172924364,1.293231091,0,0,0,0,0,0,0,0,0,0,0,0.331067159,0.001280402,0,0,0,0,0,0.08276679,0,0,0.006091636
CDM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.64322548,7.721712981,0,2.573904327,0,0,0,0,0,0,0,0,0,0,0,10.29561731,0.643476082,0.643476082,0.643476082,1.286952164,0,0,0,1.286952164,0,0,0,4.76E-05,0.000202154,0,0,0.254816528,0.001010772,0.000441682,0,0,0,0,0,0,0,0.004688624
CDM,0,0,0,0,0,0,0,2.23292672,0,0,0,0,0,0,0,0,0,0,19.64975513,0,33.04731545,19.64975513,0,0,0,0,0,0,0,0,0,0,20.98951117,0.111646336,0,3.572682752,0.223292672,0,0.111646336,0,0,0,0,0,0,0,0,0,9.99E-05,0,0,0.402998614,0.00029973,0.000654873,0,0,0,0,0,0,0,0.007415175
CDM,3.658383567,0,0,0,0,0,0,5.48757535,0,0,0,0,0,0,3.658383567,0,0,0,0,0,49.38817815,9.145958917,0,1.829191783,0,0,0,0,0,0,0,0,0,0,0,20.12110962,3.658383567,0.182919178,0.182919178,1.829191783,0,0,0,0,0,0,0.228283135,0,0.000174139,0,0,0.614608439,0.000957765,0.002473067,0,0,0,0,0,0,0,0.011308795
CDM,0,0,0,0,0,0,0,0,0,0,0,0,1.307788109,0,2.615576218,0,0,0,22.23239785,0,34.00249084,22.23239785,0,0,0,0,0,0,0,0,0,0,14.3856692,0,0,0,2.615576218,0,0,0,0,0,0,0.326947027,0,0,0.086706352,0,0,0,0,0.186752142,0.000793697,0.003468254,0,0,0,0,0,0,0,0.003436239
CDM,2.067983868,0,0.516995967,0,0,14.47588708,0,1.033991934,0,0,0,0,0,0,0,0,0,0,36.18971769,0,3.101975802,36.18971769,0,1.033991934,0,0,0,0,0,0,0,0,4.135967736,0.516995967,0,0,0.516995967,0,0,0,0,0,0,0,0,0,0.189530722,0,0,0,0,0.029158573,0.000173494,0.000379061,0,0,0,0,0,0,0,0.000536518
CDM,41.4936153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.26343026,0,14.26343026,14.26343026,0,0,0,0,0,0,0,0,0,2.593350956,3.890026434,0,0,6.48337739,1.945013217,0,0.129667548,0.32416887,0,0,0,0,0,0,0.01618251,0,0,0,0.006224042,0.199169353,0.000444397,0.00032365,0,0,0,0,0.124480846,0,0,0.003664716
CDM,20.53687207,0,0,1.283554504,0,0,0,5.134218016,0,0,0,0,0,0,0,0,0,0,2.567109008,0,12.83554504,10.26843603,0,0.641777252,0,0,0,0,0,0,0,2.567109008,15.40265405,0,0,20.53687207,0,0,0.256710901,7.701327024,0,0,0,0,0,0,0,0.000166041,0.00010081,0,0,0.262615252,0.00010081,0,0,0,0,0,0,0,0,0.004832121
CDM,15.87374984,0,0,2.645624974,0,0,0,2.645624974,0,0,0,1.322812487,0,0,0,0,0,0,7.936874922,0,29.10187472,23.81062477,0,13.22812487,0,0,0,0,0,0,0,0,0,0,0,0,1.322812487,0,0.661406244,1.322812487,0,0,0,0,0,0,0.01375725,0,6.30E-05,0,0,0.111116249,0.000125932,0.00055029,0,0,0,0,0,0,0,0.002044539
CDM,1.792907294,0,0,3.585814587,0,4.482268234,0,0,0,0,0,0,0,0,4.482268234,0,0,0,29.58297035,1.792907294,8.068082822,29.58297035,0,0.896453647,0,0,0,0,0,0,0,0,8.964536469,0.896453647,0,5.378721881,0,0,0.224113412,0,0,0,0,0,0,0,0.227250999,1.88E-05,0.000160017,0,0,0.040340414,0.000320034,0.000699234,0,0,0,0,0,0,0,0.000742264
CDM,48.19508024,0,0,2.190685465,0,2.190685465,0,0,0,0,0,0,0,0,0,0,0,0,6.572056396,0,17.52548372,17.52548372,0,0,0,0,0,0,0,0,0,0,1.095342733,0,0,4.381370931,0,0,0,0,0,0,0,0,0,0,0.232387914,0,0,0,0,0.089379967,0.000398858,0,0,0,0,0,0,0,0,0.001644591
Monterey,16.82845427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.487587806,16.82845427,0,0,3.365690855,0,0,0,13.46276342,0,0,0,0,24.68173294,0,0,16.82845427,0,0,0,0,0,0,0,0.061255574,0,3.079113498,0.000114344,0,0,0,0.163348196,0,0.005839698,0,0,0,0,0,0.204185245,0,0.003005607
Monterey,22.17868618,5.544671546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.848223849,0,0,5.544671546,1.848223849,0,0,9.241119243,0,0,0,0,44.35737237,1.848223849,1.848223849,3.696447697,0,0,0,0,0,0,0,0.017373304,0,1.603555976,0.000170258,0,0,0.034746608,0.121613129,0,0.0038395,0,0,0,0,0,0.260599563,0,0.002237682
Monterey,3.174939839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.174939839,0,0,22.22457887,0,0,12.69975936,0,0,0,9.524819518,0,0,0,0,3.174939839,12.69975936,11.11228944,20.63710895,0,0,0,0,0,0,0,0.044449158,0,1.271245912,6.22E-05,0,0,0,0.033336868,0,0.004911632,0,0,0,0,0,0.222245789,0,0.000613398
Monterey,96.89650678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.091291513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128684138,0.009146473,0,0,0,0.178178037,0,0,0,0,0,0,0.59392679,0.098987798,0,0.003278476
Monterey,22.11920761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.949227682,0,35.39073218,1.474613841,0,0,0,0,0,0,2.949227682,0,0,0,0,0,0,32.4415045,0.589845536,0,0,0,0,0,0,0,0.058394708,0,1.467653664,2.73E-05,0,0.194649027,0,0.165451673,0,0.001771306,0,0,0,0,0.194649027,0,0,0.003044311
Monterey,5.712337863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5671433,0,0,0,2.284935145,0,0,0,0,2.284935145,0,0,0,0,0,66.26311921,1.142467573,0,0,0,0,0,0,0,0.017822494,0,1.621846966,9.98E-05,0,0.089112471,0,0.169313694,0,0.001853539,1.782249413,5.34674824,0,0,0.089112471,0.623787295,0,0.003115372
Monterey,18.24655648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.24655648,0,0,0,1.013697582,0,0,0,0,0,0.506848791,0,0,0,0,40.54790328,4.054790328,0.202739516,0,0,0,0,0,0,0.095693052,0,2.332518136,0.000100478,0,0,0.011961631,0.49042689,0,0.006842053,2.392326294,7.176978881,1.196163147,2.392326294,0.239232629,0.837314203,0,0.009023855
Monterey,2.641100717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.484201798,0,0,24.2100899,0.110045863,0.440183453,0,1.760733811,0,0,0,0.880366906,0,5.282201434,0,0,2.200917264,0,28.61192443,1.100458632,0,0,0.110045863,0,0,0,0,0.040672951,0,3.242989963,0.00026573,0,0.135576503,0,0.067788252,0,0.004758735,0,25.08165314,0.677882517,0,0.338941259,2.508165314,0.067788252,0.001247304
Monterey,38.44421678,0,0,0,0,0,9.611054196,0,0,0,0,0,2.402763549,0,0,0,0,0,0,0,24.02763549,0,0,0,0,6.006908872,0,0,9.611054196,0,1.201381774,0,0,0,0,4.805527098,0,0,0,0,0,0,0,0,0,0,0.573491604,0.001749885,0.000145824,0,0,0.245081882,0,0.000955819,0,0,0,2.45081882,0.367622823,0.245081882,0,0.004509507
Monterey,17.18509185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.05912859,5.155527556,0,0,0,24.05912859,0,0,0,0,1.718509185,0,0,10.31105511,0,0,8.592545927,0,0,0.343701837,0,0,0,0,0,0,1.136690716,0.001224128,0,0.182161974,0,1.220485223,0,0.000947242,0,0,3.643239473,1.821619736,0.364323947,0,0.182161974,0.022456928
Monterey,61.64207816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700478161,0,0,0,0.700478161,0,0,0,2.801912644,0,0,0,0,0,0,25.21721379,7.00478161,0,0,0,0,0,0,0,0.033622952,0,1.573554141,0.000164752,0,0.084057379,0,0.235360662,0,0.001966943,0,0,0,0,0,0,0,0.004330636
Monterey,37.83193251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.51140447,0.900760298,0,0,0.900760298,3.603041192,0,0,21.61824715,0,3.603041192,0,0,0,0,7.206082383,0,0,0,0.450380149,0,0,0,0,0.023239616,0,3.716014548,0.000748316,0,0.116198078,0,1.150360976,0,0.001510575,0,0,0,4.647923137,0.464792314,0,0.232396157,0.021166642
Monterey,30.29182453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.74735081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.327403504,0,0,0.540925438,0,0,0,0,0,0,1.717503177,0.000156306,0,0,0,0.093039175,0,0.000967607,0,0,0,0,0.279117526,0,0,0.001711921
Monterey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.02149839,0,0,0,0,3.540115261,0,0,3.540115261,0,0.885028815,0,0,3.540115261,0,35.40115261,0,0,0,0,0,0,0,0,0,0,0.521883792,0,0,0.07434242,0,0.007434242,0,0.000386581,0,5.203969433,0,0.743424205,0,0.520396943,0,0.00013679
Monterey,91.3149854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36291023,0,0,0,5.451640919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.403252373,5.04E-05,0,0,0,0.278851433,0,0.003274256,0,0,0,0,0.089952075,0.089952075,0,0.005130866
