Species,clipped,weeded,flowers,
Tripidocarpum,no,yes,9,
Tripidocarpum,no,yes,7,
Tripidocarpum,no,yes,33,
Tripidocarpum,no,yes,11,
Tripidocarpum,no,yes,4,
Tripidocarpum,no,yes,7,
Tripidocarpum,no,yes,22,
Tripidocarpum,no,yes,21,
Tripidocarpum,no,yes,44,
Tripidocarpum,no,yes,12,
Tripidocarpum,no,yes,5,
Tripidocarpum,no,yes,13,
Tripidocarpum,no,yes,2,
Tripidocarpum,no,yes,58,
Tripidocarpum,no,yes,3,
Tripidocarpum,no,yes,70,
Tripidocarpum,no,yes,4,
Tripidocarpum,no,yes,27,
Tripidocarpum,no,yes,12,
Tripidocarpum,no,yes,5,
Tripidocarpum,no,yes,1,
Tripidocarpum,no,yes,7,
Tripidocarpum,no,yes,4,
Tripidocarpum,yes,no,16,
Tripidocarpum,yes,no,1,
Tripidocarpum,yes,no,6,
Tripidocarpum,yes,no,2,
Tripidocarpum,yes,no,61,
Tripidocarpum,yes,no,2,
Tripidocarpum,yes,no,2,
Tripidocarpum,yes,no,4,
Tripidocarpum,yes,no,3,
Tripidocarpum,yes,no,5,
Tripidocarpum,yes,no,1,
Tripidocarpum,yes,no,41,
Tripidocarpum,yes,no,32,
Tripidocarpum,yes,no,39,
Tripidocarpum,yes,no,30,
Tripidocarpum,yes,no,54,
Tripidocarpum,yes,no,2,
Tripidocarpum,yes,no,8,
Tripidocarpum,yes,no,2,
Tripidocarpum,yes,no,2,
Tripidocarpum,yes,no,29,
Tripidocarpum,yes,no,13,
Tripidocarpum,yes,yes,17,
Tripidocarpum,yes,yes,6,
Tripidocarpum,yes,yes,31,
Tripidocarpum,yes,yes,3,
Tripidocarpum,yes,yes,1,
Tripidocarpum,yes,yes,10,
Tripidocarpum,yes,yes,19,
Tripidocarpum,yes,yes,13,
Tripidocarpum,yes,yes,3,
Tripidocarpum,yes,yes,14,
Tripidocarpum,yes,yes,4,
Tripidocarpum,yes,yes,11,
Tripidocarpum,yes,yes,10,
Tripidocarpum,yes,yes,9,
Tripidocarpum,yes,yes,7,
Tripidocarpum,yes,yes,10,
Tripidocarpum,yes,yes,3,
Tripidocarpum,yes,yes,4,
Tripidocarpum,yes,yes,1,
Tripidocarpum,yes,yes,0,
Tripidocarpum,yes,yes,0,
Tripidocarpum,yes,yes,5,
Bromus,no,no,0,
Bromus,no,no,35,
Bromus,no,no,25,
Bromus,no,no,14,
Bromus,no,no,82,
Bromus,no,no,21,
Bromus,no,no,31,
Bromus,no,no,19,
Bromus,no,no,27,
Bromus,no,no,38,
Bromus,no,no,18,
Bromus,no,no,26,
Bromus,no,no,27,
Bromus,no,no,31,
Bromus,no,no,33,
Bromus,no,no,61,
Bromus,no,no,57,
Bromus,no,no,46,
Bromus,no,no,34,
Bromus,no,no,16,
Bromus,no,no,33,
Bromus,no,yes,79,
Bromus,no,yes,29,
Bromus,no,yes,47,
Bromus,no,yes,26,
Bromus,no,yes,39,
Bromus,no,yes,15,
Bromus,no,yes,60,
Bromus,no,yes,55,
Bromus,no,yes,16,
Bromus,no,yes,111,
Bromus,no,yes,67,
Bromus,no,yes,27,
Bromus,no,yes,81,
Bromus,no,yes,92,
Bromus,no,yes,97,
Bromus,no,yes,113,
Bromus,no,yes,35,
Bromus,no,yes,36,
Bromus,no,yes,47,
Bromus,no,yes,70,
Bromus,no,yes,25,
Bromus,yes,no,0,
Bromus,yes,no,10,
Bromus,yes,no,18,
Bromus,yes,no,19,
Bromus,yes,no,13,
Bromus,yes,no,22,
Bromus,yes,no,6,
Bromus,yes,no,31,
Bromus,yes,no,11,
Bromus,yes,no,15,
Bromus,yes,no,13,
Bromus,yes,no,10,
Bromus,yes,no,20,
Bromus,yes,no,7,
Bromus,yes,no,0,
Bromus,yes,no,4,
Bromus,yes,no,10,
Bromus,yes,no,16,
Bromus,yes,no,23,
Bromus,yes,no,39,
Bromus,yes,no,4,
Bromus,yes,no,4,
Bromus,yes,no,38,
Bromus,yes,no,20,
Bromus,yes,yes,0,
Bromus,yes,yes,2,
Bromus,yes,yes,0,
Bromus,yes,yes,5,
Bromus,yes,yes,0,
Bromus,yes,yes,0,
Bromus,yes,yes,0,
Bromus,yes,yes,33,
Bromus,yes,yes,20,
Bromus,yes,yes,19,
Bromus,yes,yes,5,
Bromus,yes,yes,32,
Bromus,yes,yes,24,
Bromus,yes,yes,16,
Bromus,yes,yes,35,
Bromus,yes,yes,22,
Bromus,yes,yes,2,
Bromus,yes,yes,6,
Bromus,yes,yes,64,
Bromus,yes,yes,10,
Bromus,yes,yes,17,
Bromus,yes,yes,72,
Bromus,yes,yes,73,
Bromus,yes,yes,25,
Bromus,yes,yes,2,
Vulpia,no,no,0,
Vulpia,no,no,27,
Vulpia,no,no,19,
Vulpia,no,no,10,
Vulpia,no,no,16,
Vulpia,no,no,4,
Vulpia,no,no,18,
Vulpia,no,no,21,
Vulpia,no,no,19,
Vulpia,no,no,46,
Vulpia,no,no,21,
Vulpia,no,no,14,
Vulpia,no,no,14,
Vulpia,no,no,29,
Vulpia,no,yes,3,
Vulpia,no,yes,0,
Vulpia,no,yes,15,
Vulpia,no,yes,23,
Vulpia,no,yes,8,
Vulpia,no,yes,10,
Vulpia,no,yes,26,
Vulpia,no,yes,9,
Vulpia,no,yes,27,
Vulpia,no,yes,53,
Vulpia,no,yes,33,
Vulpia,no,yes,19,
Vulpia,no,yes,42,
Vulpia,no,yes,20,
Vulpia,no,yes,5,
Vulpia,no,yes,15,
Vulpia,no,yes,72,
Vulpia,no,yes,6,
Vulpia,no,yes,35,
Vulpia,no,yes,3,
Vulpia,no,yes,31,
Vulpia,no,yes,17,
Vulpia,yes,no,1,
Vulpia,yes,no,0,
Vulpia,yes,no,5,
Vulpia,yes,no,2,
Vulpia,yes,no,0,
Vulpia,yes,no,17,
Vulpia,yes,no,17,
Vulpia,yes,no,16,
Vulpia,yes,no,6,
Vulpia,yes,no,21,
Vulpia,yes,no,9,
Vulpia,yes,no,23,
Vulpia,yes,no,18,
Vulpia,yes,no,14,
Vulpia,yes,no,4,
Vulpia,yes,no,30,
Vulpia,yes,no,21,
Vulpia,yes,no,21,
Vulpia,yes,no,40,
Vulpia,yes,no,6,
Vulpia,yes,no,9,
Vulpia,yes,yes,0,
Vulpia,yes,yes,1,
Vulpia,yes,yes,0,
Vulpia,yes,yes,2,
Vulpia,yes,yes,0,
Vulpia,yes,yes,1,
Vulpia,yes,yes,0,
Vulpia,yes,yes,0,
Vulpia,yes,yes,0,
Vulpia,yes,yes,33,
Vulpia,yes,yes,20,
Vulpia,yes,yes,6,
Vulpia,yes,yes,31,
Vulpia,yes,yes,22,
Vulpia,yes,yes,7,
Vulpia,yes,yes,5,
Vulpia,yes,yes,25,
Vulpia,yes,yes,6,
Vulpia,yes,yes,10,
Vulpia,yes,yes,6,
Vulpia,yes,yes,15,
